Frequency (Hz),Power (dB)
102.866114,-60.318178
102.966081,-61.004125
103.066048,-65.818115
103.166015,-62.287494
103.265982,-67.766413
103.365949,-72.327060
103.465916,-59.719436
103.565883,-61.773078
103.665850,-70.654870
103.765817,-68.606709
103.865784,-65.929189
103.965752,-65.961926
104.065719,-73.485513
104.165686,-65.208635
104.265653,-58.378344
104.365620,-65.450632
104.465587,-62.926274
104.565554,-69.956545
104.665521,-73.060101
104.765488,-61.189179
104.865455,-65.504240
104.965422,-69.676036
105.065389,-63.207809
105.165356,-64.125893
105.265323,-62.681980
105.365290,-67.040668
105.465258,-63.889722
105.565225,-66.073605
105.665192,-64.339504
105.765159,-66.533672
105.865126,-62.413741
105.965093,-62.152941
106.065060,-70.136944
106.165027,-68.645853
106.264994,-64.561762
106.364961,-70.707389
106.464928,-65.544706
106.564895,-62.019971
106.664862,-64.888813
106.764829,-63.318381
106.864797,-68.020670
106.964764,-63.226399
107.064731,-60.561437
107.164698,-59.741720
107.264665,-59.057760
107.364632,-72.309476
107.464599,-58.480178
107.564566,-60.350354
107.664533,-64.777272
107.764500,-68.262118
107.864467,-60.503491
107.964434,-57.016189
108.064401,-66.341212
108.164368,-75.845134
108.264335,-59.844356
108.364303,-61.067634
108.464270,-74.483580
108.564237,-61.915725
108.664204,-60.517983
108.764171,-67.421406
108.864138,-57.775708
108.964105,-68.159472
109.064072,-69.298784
109.164039,-62.307417
109.264006,-65.966566
109.363973,-68.517729
109.463940,-63.832958
109.563907,-61.556798
109.663874,-67.927793
109.763841,-59.447198
109.863809,-59.250623
109.963776,-64.117482
110.063743,-59.494168
110.163710,-74.194799
110.263677,-60.757628
110.363644,-68.005954
110.463611,-70.457713
110.563578,-62.556792
110.663545,-65.381870
110.763512,-62.440421
110.863479,-58.427395
110.963446,-57.348150
111.063413,-65.919759
111.163380,-64.998362
111.263348,-57.993073
111.363315,-72.647238
111.463282,-64.871705
111.563249,-66.136454
111.663216,-76.500257
111.763183,-74.558488
111.863150,-68.010542
111.963117,-63.155334
112.063084,-68.935610
112.163051,-62.345675
112.263018,-73.029722
112.362985,-66.239678
112.462952,-57.291484
112.562919,-63.207830
112.662886,-60.673470
112.762854,-69.792674
112.862821,-82.330406
112.962788,-57.990671
113.062755,-72.294450
113.162722,-69.912889
113.262689,-60.699761
113.362656,-79.057223
113.462623,-60.840915
113.562590,-67.442521
113.662557,-60.654942
113.762524,-78.555179
113.862491,-65.613853
113.962458,-65.027545
114.062425,-61.382435
114.162393,-61.269482
114.262360,-59.286675
114.362327,-74.604856
114.462294,-63.981795
114.562261,-64.693048
114.662228,-64.889636
114.762195,-71.530280
114.862162,-65.640676
114.962129,-80.064613
115.062096,-57.312952
115.162063,-63.886527
115.262030,-63.947777
115.361997,-69.984097
115.461964,-66.526656
115.561931,-65.635699
115.661899,-62.563877
115.761866,-66.340863
115.861833,-68.158534
115.961800,-63.933404
116.061767,-64.984978
116.161734,-67.584982
116.261701,-74.537569
116.361668,-64.022397
116.461635,-60.684132
116.561602,-81.018173
116.661569,-77.638353
116.761536,-59.631961
116.861503,-59.755189
116.961470,-59.852501
117.061438,-60.764804
117.161405,-75.583061
117.261372,-61.063294
117.361339,-84.829339
117.461306,-59.702694
117.561273,-63.792319
117.661240,-74.427745
117.761207,-65.539947
117.861174,-64.042800
117.961141,-59.424991
118.061108,-63.740964
118.161075,-74.365878
118.261042,-62.342446
118.361009,-63.621580
118.460976,-75.474357
118.560944,-55.614147
118.660911,-74.597629
118.760878,-66.906578
118.860845,-63.152382
118.960812,-61.891070
119.060779,-62.816431
119.160746,-60.429933
119.260713,-67.885389
119.360680,-62.771941
119.460647,-74.776536
119.560614,-69.029050
119.660581,-60.111713
119.760548,-66.501414
119.860515,-58.527986
119.960483,-74.626866
120.060450,-62.250877
120.160417,-64.633921
120.260384,-65.644678
120.360351,-62.112663
120.460318,-67.526067
120.560285,-68.933956
120.660252,-58.945143
120.760219,-62.729843
120.860186,-61.835940
120.960153,-61.675237
121.060120,-69.615912
121.160087,-78.837748
