Timestamp (ns),X (rad/s),Y (rad/s),Z (rad/s)
45723690291291,0.017333,0.010095,0.003612
45723692769781,0.014890,0.011317,0.004833
45723695249833,0.014890,0.012538,0.004833
45723697726291,0.014890,0.011317,0.006055
45723700205770,0.016111,0.012538,0.006055
45723702684781,0.016111,0.011317,0.007277
45723705164989,0.016111,0.011317,0.008498
45723707645145,0.014890,0.012538,0.008498
45723710124052,0.014890,0.008873,0.009720
45723712604156,0.013668,0.007651,0.010942
45723715083062,0.014890,0.005208,0.010942
45723717563010,0.016111,0.003986,0.009720
45723720041864,0.016111,0.000321,0.009720
45723722521916,0.017333,0.000321,0.009720
45723724998479,0.017333,-0.000901,0.008498
45723727477593,0.019776,-0.002122,0.007277
45723729956552,0.020998,-0.000901,0.006055
45723732435562,0.022220,-0.003344,0.007277
45723734915822,0.023442,-0.005788,0.007277
45723737394885,0.025885,-0.005788,0.006055
45723739875041,0.027107,-0.004566,0.008498
45723742354052,0.028329,-0.004566,0.009720
45723744833062,0.027107,-0.003344,0.009720
45723747313218,0.028329,-0.004566,0.010942
45723749792177,0.027107,-0.002122,0.010942
45723752272385,0.024663,0.000321,0.013385
45723754751447,0.024663,0.001543,0.013385
45723757231552,0.023442,0.003986,0.013385
45723759711656,0.022220,0.007651,0.012164
45723762190562,0.019776,0.010095,0.013385
45723764670718,0.017333,0.012538,0.013385
45723767149572,0.019776,0.014982,0.010942
45723769629572,0.018555,0.014982,0.010942
45723772109625,0.018555,0.016204,0.012164
45723774589625,0.018555,0.013760,0.010942
45723777068427,0.019776,0.013760,0.009720
45723779548322,0.020998,0.011317,0.010942
45723782004208,0.024663,0.008873,0.010942
45723784458479,0.024663,0.008873,0.009720
45723786888166,0.027107,0.006430,0.008498
45723789318895,0.029550,0.003986,0.008498
45723791728114,0.029550,0.005208,0.007277
45723794181500,0.029550,0.005208,0.006055
45723796587229,0.030772,0.005208,0.007277
45723799069260,0.028329,0.001543,0.003612
45723801549468,0.025885,0.000321,0.004833
45723804029468,0.023442,0.002765,0.003612
45723806508218,0.020998,0.001543,0.003612
45723808988166,0.017333,0.003986,0.003612
45723811466968,0.014890,0.005208,0.004833
45723813946760,0.011224,0.007651,0.006055
45723816426708,0.012446,0.008873,0.007277
45723818905354,0.011224,0.011317,0.007277
45723821383322,0.010003,0.013760,0.009720
45723823859677,0.010003,0.013760,0.009720
45723826339208,0.012446,0.014982,0.008498
45723828819208,0.012446,0.013760,0.009720
45723831297958,0.014890,0.014982,0.010942
45723833778010,0.016111,0.014982,0.009720
45723836256656,0.019776,0.016204,0.008498
45723838736760,0.022220,0.013760,0.007277
45723841215458,0.022220,0.010095,0.007277
45723843694156,0.022220,0.006430,0.007277
45723846174000,0.023442,0.002765,0.006055
45723848652697,0.020998,-0.000901,0.006055
45723851133375,0.020998,-0.004566,0.007277
45723853612437,0.019776,-0.008231,0.007277
45723856092229,0.017333,-0.010674,0.007277
45723858570875,0.014890,-0.014340,0.008498
45723861049729,0.012446,-0.016783,0.009720
45723863529520,0.011224,-0.018005,0.012164
45723866008322,0.010003,-0.018005,0.012164
45723868488218,0.010003,-0.018005,0.012164
45723870967906,0.008781,-0.016783,0.015829
45723873447593,0.003894,-0.018005,0.017051
45723875926135,0.002672,-0.015561,0.015829
45723878404677,-0.000993,-0.014340,0.018272
45723880884572,-0.000993,-0.013118,0.018272
45723883363322,-0.002215,-0.013118,0.018272
45723885843270,-0.002215,-0.013118,0.019494
45723888321864,-0.003436,-0.014340,0.018272
45723890801604,-0.003436,-0.014340,0.017051
45723893280093,-0.002215,-0.013118,0.017051
45723895758583,-0.000993,-0.014340,0.015829
45723898236864,-0.002215,-0.015561,0.014607
45723900713375,-0.000993,-0.016783,0.012164
45723903193322,0.001450,-0.016783,0.012164
45723905672020,0.002672,-0.016783,0.010942
45723908151864,0.002672,-0.016783,0.010942
45723910630770,0.002672,-0.015561,0.010942
45723913110718,0.003894,-0.016783,0.012164
45723915591447,0.003894,-0.016783,0.012164
45723918070354,0.003894,-0.016783,0.013385
45723920550250,0.002672,-0.016783,0.015829
45723922979416,0.001450,-0.014340,0.015829
45723925437958,0.002672,-0.013118,0.015829
45723927848687,-0.000993,-0.011896,0.017051
45723930295822,-0.003436,-0.009453,0.018272
45723932728895,-0.004658,-0.009453,0.019494
45723935136343,-0.007102,-0.008231,0.018272
45723937589000,-0.009545,-0.005788,0.018272
45723940003114,-0.011989,-0.004566,0.018272
45723942450666,-0.016875,-0.004566,0.018272
45723944856812,-0.019319,-0.003344,0.018272
45723947311291,-0.021762,-0.002122,0.015829
45723949730822,-0.022984,-0.003344,0.014607
45723952148322,-0.021762,-0.000901,0.013385
45723954603375,-0.021762,-0.000901,0.012164
45723957010302,-0.019319,-0.000901,0.010942
45723959465406,-0.016875,0.001543,0.010942
45723961870614,-0.015654,0.001543,0.010942
45723964325197,-0.014432,0.002765,0.008498
45723966757437,-0.011989,0.003986,0.007277
45723969163583,-0.011989,0.005208,0.006055
45723971616864,-0.011989,0.007651,0.006055
45723974024885,-0.009545,0.011317,0.004833
45723976458531,-0.011989,0.013760,0.006055
45723978886447,-0.008323,0.017425,0.006055
45723981339104,-0.009545,0.022312,0.006055
45723983771291,-0.010767,0.027199,0.006055
45723986178010,-0.010767,0.032086,0.007277
45723988632437,-0.011989,0.036973,0.007277
45723991039260,-0.014432,0.040638,0.008498
45723993492906,-0.014432,0.045525,0.010942
45723995900718,-0.014432,0.051634,0.010942
45723998355093,-0.014432,0.055299,0.009720
45724000835250,-0.013210,0.057742,0.008498
45724003315145,-0.011989,0.057742,0.006055
45724005793843,-0.009545,0.055299,0.002390
45724008273739,-0.008323,0.055299,0.001168
45724010752437,-0.005880,0.054077,-0.000054
45724013232125,-0.003436,0.052855,-0.002497
45724015712020,-0.003436,0.051634,-0.006162
45724018191812,-0.002215,0.046747,-0.006162
45724020670406,-0.002215,0.043082,-0.008606
45724023150927,-0.003436,0.039416,-0.008606
45724025627229,-0.005880,0.035751,-0.011049
45724028107125,-0.005880,0.036973,-0.007384
45724030585770,-0.009545,0.040638,-0.008606
45724033065614,-0.011989,0.049190,-0.008606
45724035544364,-0.015654,0.058964,-0.006162
45724038024208,-0.015654,0.068738,-0.004941
45724040502906,-0.015654,0.078512,-0.002497
45724042982802,-0.016875,0.088286,-0.001275
45724045462645,-0.015654,0.098059,0.001168
45724047941291,-0.011989,0.105390,0.003612
45724050421135,-0.005880,0.110277,0.004833
45724052899833,-0.002215,0.111498,0.004833
45724055379729,0.003894,0.107833,0.006055
45724057858427,0.005116,0.101725,0.006055
45724060338322,0.007559,0.095616,0.002390
45724062818166,0.007559,0.087064,-0.000054
45724065296916,0.007559,0.077290,-0.002497
45724067776864,0.005116,0.068738,-0.003719
45724070255614,0.001450,0.062629,-0.007384
