Frequency (Hz),Amplitude (|P1(f)|)
95.668485,0.000297
95.768452,0.000101
95.868419,0.000426
95.968386,0.000193
96.068353,0.000339
96.168320,0.000267
96.268287,0.000173
96.368254,0.000234
96.468221,0.000201
96.568188,0.000194
96.668155,0.000459
96.768123,0.000445
96.868090,0.000232
96.968057,0.000406
97.068024,0.000151
97.167991,0.000477
97.267958,0.000445
97.367925,0.000275
97.467892,0.000442
97.567859,0.000284
97.667826,0.000415
97.767793,0.000659
97.867760,0.000539
97.967727,0.000062
98.067694,0.000434
98.167662,0.000202
98.267629,0.000178
98.367596,0.000235
98.467563,0.000249
98.567530,0.000158
98.667497,0.000249
98.767464,0.000273
98.867431,0.000566
98.967398,0.000206
99.067365,0.000236
99.167332,0.000421
99.267299,0.000428
99.367266,0.000427
99.467233,0.000272
99.567200,0.000141
99.667168,0.000383
99.767135,0.000417
99.867102,0.000351
99.967069,0.000291
100.067036,0.000443
100.167003,0.000310
100.266970,0.000093
100.366937,0.000397
100.466904,0.000153
100.566871,0.000126
100.666838,0.000289
100.766805,0.000260
100.866772,0.000507
100.966739,0.000191
101.066707,0.000458
101.166674,0.000247
101.266641,0.000355
101.366608,0.000020
101.466575,0.000041
101.566542,0.000075
101.666509,0.000481
101.766476,0.000421
101.866443,0.000174
101.966410,0.000438
102.066377,0.000277
102.166344,0.000177
102.266311,0.000791
102.366278,0.000180
102.466245,0.000216
102.566213,0.000236
102.666180,0.000667
102.766147,0.000505
102.866114,0.000431
102.966081,0.000398
103.066048,0.000229
103.166015,0.000344
103.265982,0.000183
103.365949,0.000108
103.465916,0.000462
103.565883,0.000365
103.665850,0.000131
103.765817,0.000166
103.865784,0.000226
103.965752,0.000225
104.065719,0.000095
104.165686,0.000245
104.265653,0.000539
104.365620,0.000239
104.465587,0.000319
104.565554,0.000142
104.665521,0.000099
104.765488,0.000390
104.865455,0.000237
104.965422,0.000147
105.065389,0.000309
105.165356,0.000278
105.265323,0.000328
105.365290,0.000199
105.465258,0.000286
105.565225,0.000222
105.665192,0.000271
105.765159,0.000211
105.865126,0.000339
105.965093,0.000349
106.065060,0.000139
106.165027,0.000165
106.264994,0.000264
106.364961,0.000130
106.464928,0.000236
106.564895,0.000354
106.664862,0.000255
106.764829,0.000305
106.864797,0.000178
106.964764,0.000308
107.064731,0.000419
107.164698,0.000461
107.264665,0.000498
107.364632,0.000108
107.464599,0.000533
107.564566,0.000429
107.664533,0.000258
107.764500,0.000173
107.864467,0.000422
107.964434,0.000630
108.064401,0.000215
108.164368,0.000072
108.264335,0.000455
108.364303,0.000395
108.464270,0.000084
108.564237,0.000359
108.664204,0.000421
108.764171,0.000190
108.864138,0.000578
108.964105,0.000175
109.064072,0.000153
109.164039,0.000343
109.264006,0.000225
109.363973,0.000168
109.463940,0.000288
109.563907,0.000374
109.663874,0.000179
109.763841,0.000477
109.863809,0.000487
109.963776,0.000278
110.063743,0.000474
110.163710,0.000087
110.263677,0.000410
110.363644,0.000178
110.463611,0.000134
110.563578,0.000333
110.663545,0.000241
110.763512,0.000338
110.863479,0.000536
110.963446,0.000607
111.063413,0.000226
111.163380,0.000251
111.263348,0.000563
111.363315,0.000104
111.463282,0.000255
111.563249,0.000221
111.663216,0.000067
111.763183,0.000084
111.863150,0.000178
111.963117,0.000311
112.063084,0.000160
112.163051,0.000341
112.263018,0.000100
112.362985,0.000218
112.462952,0.000611
112.562919,0.000309
112.662886,0.000414
112.762854,0.000145
112.862821,0.000034
112.962788,0.000564
113.062755,0.000109
113.162722,0.000143
113.262689,0.000413
113.362656,0.000050
113.462623,0.000406
113.562590,0.000190
113.662557,0.000415
113.762524,0.000053
113.862491,0.000234
113.962458,0.000251
114.062425,0.000381
114.162393,0.000386
114.262360,0.000485
114.362327,0.000083
114.462294,0.000283
114.562261,0.000260
114.662228,0.000255
114.762195,0.000119
114.862162,0.000234
114.962129,0.000044
115.062096,0.000609
115.162063,0.000286
115.262030,0.000284
115.361997,0.000142
115.461964,0.000211
115.561931,0.000234
115.661899,0.000333
115.761866,0.000215
115.861833,0.000175
115.961800,0.000284
116.061767,0.000252
116.161734,0.000187
116.261701,0.000084
116.361668,0.000281
116.461635,0.000413
116.561602,0.000040
116.661569,0.000059
116.761536,0.000466
116.861503,0.000460
116.961470,0.000455
117.061438,0.000409
117.161405,0.000074
117.261372,0.000396
117.361339,0.000026
117.461306,0.000463
117.561273,0.000289
117.661240,0.000085
117.761207,0.000236
117.861174,0.000281
117.961141,0.000478
118.061108,0.000291
118.161075,0.000086
118.261042,0.000341
118.361009,0.000295
118.460976,0.000075
118.560944,0.000741
118.660911,0.000083
118.760878,0.000202
118.860845,0.000311
118.960812,0.000360
119.060779,0.000323
119.160746,0.000426
119.260713,0.000180
119.360680,0.000325
119.460647,0.000082
119.560614,0.000158
119.660581,0.000441
119.760548,0.000212
119.860515,0.000530
119.960483,0.000083
120.060450,0.000345
120.160417,0.000262
120.260384,0.000233
120.360351,0.000351
120.460318,0.000188
120.560285,0.000160
120.660252,0.000505
120.760219,0.000327
120.860186,0.000362
120.960153,0.000369
121.060120,0.000148
121.160087,0.000051
121.260054,0.000165
121.360021,0.000271
121.459989,0.000334
121.559956,0.000355
121.659923,0.000014
121.759890,0.000190
121.859857,0.000327
121.959824,0.000231
122.059791,0.000249
122.159758,0.000354
122.259725,0.000173
122.359692,0.000134
122.459659,0.000347
122.559626,0.000243
122.659593,0.000137
122.759560,0.000366
122.859528,0.000279
122.959495,0.000041
123.059462,0.000333
123.159429,0.000115
123.259396,0.000220
123.359363,0.000227
123.459330,0.000472
123.559297,0.000286
123.659264,0.000231
123.759231,0.000200
123.859198,0.000214
123.959165,0.000474
124.059132,0.000274
124.159099,0.000147
124.259066,0.000339
124.359034,0.000190
124.459001,0.000425
124.558968,0.000630
124.658935,0.000429
124.758902,0.000231
124.858869,0.000489
124.958836,0.000511
125.058803,0.000200
125.158770,0.000474
125.258737,0.000173
125.358704,0.000197
125.458671,0.000420
125.558638,0.000316
125.658605,0.000066
125.758573,0.000251
125.858540,0.000402
125.958507,0.000322
126.058474,0.000531
126.158441,0.000169
126.258408,0.000101
126.358375,0.000266
126.458342,0.000133
126.558309,0.000424
126.658276,0.000228
126.758243,0.000135
126.858210,0.000129
126.958177,0.000428
127.058144,0.000055
127.158111,0.000437
127.258079,0.000406
127.358046,0.000104
127.458013,0.000225
127.557980,0.000257
127.657947,0.000112
127.757914,0.000377
127.857881,0.000236
127.957848,0.000340
128.057815,0.000265
128.157782,0.000183
128.257749,0.000384
128.357716,0.000194
128.457683,0.000122
128.557650,0.000352
128.657617,0.000084
128.757585,0.000186
128.857552,0.000314
128.957519,0.000347
129.057486,0.000538
129.157453,0.000122
129.257420,0.000131
129.357387,0.000207
129.457354,0.000270
129.557321,0.000366
129.657288,0.000155
129.757255,0.000446
129.857222,0.000292
129.957189,0.000182
130.057156,0.000104
130.157124,0.000624
130.257091,0.000321
130.357058,0.000205
130.457025,0.000197
130.556992,0.000212
130.656959,0.000304
130.756926,0.000271
130.856893,0.000154
130.956860,0.000330
131.056827,0.000152
131.156794,0.000731
131.256761,0.000179
131.356728,0.000350
131.456695,0.000441
131.556662,0.000388
131.656630,0.000438
131.756597,0.000454
131.856564,0.000208
131.956531,0.000064
132.056498,0.000625
132.156465,0.000547
132.256432,0.000221
132.356399,0.000404
132.456366,0.000162
132.556333,0.000314
132.656300,0.000489
132.756267,0.000264
132.856234,0.000260
132.956201,0.000404
133.056169,0.000101
133.156136,0.000352
133.256103,0.000270
133.356070,0.000161
133.456037,0.000342
133.556004,0.000390
133.655971,0.000408
133.755938,0.000407
133.855905,0.000203
133.955872,0.000288
134.055839,0.000314
134.155806,0.000417
134.255773,0.000596
134.355740,0.000318
134.455707,0.000436
134.555675,0.000295
134.655642,0.000152
134.755609,0.000558
134.855576,0.000253
134.955543,0.000205
135.055510,0.000099
135.155477,0.000192
135.255444,0.000289
135.355411,0.000379
135.455378,0.000068
135.555345,0.000360
135.655312,0.000327
135.755279,0.000399
135.855246,0.000431
135.955214,0.000280
136.055181,0.000551
136.155148,0.000187
136.255115,0.000156
136.355082,0.000136
136.455049,0.000251
136.555016,0.000152
136.654983,0.000078
136.754950,0.000269
136.854917,0.000206
136.954884,0.000307
137.054851,0.000265
137.154818,0.000629
137.254785,0.000408
137.354752,0.000040
137.454720,0.000191
137.554687,0.000160
137.654654,0.000420
137.754621,0.000208
137.854588,0.000154
137.954555,0.000486
138.054522,0.000467
138.154489,0.000214
138.254456,0.000560
138.354423,0.000295
138.454390,0.000084
138.554357,0.000257
138.654324,0.000435
138.754291,0.000238
138.854259,0.000084
138.954226,0.000500
